Date,Dealer Group,Dealership Name,Year,Make,MakeModel,Trim,Mileage,Price,Model,URL,Used,Vin#
"2/26/2026","A","Mansfield Motors",2024,"AODES","AODES Pathcross 1000","","5",8950,"Pathcross 1000","https://www.mansfieldmotorspa.com/details/used-2024-aodes-pathcross-1000/118607411","Used","0D1ARXA4CR0001611"
"2/26/2026","A","Mansfield Motors",2014,"Bobcat","Bobcat S630","","",21950,"S630","https://www.mansfieldmotorspa.com/details/used-2014-bobcat-s630/120491708","Used","AHGL11419"
"2/26/2026","A","Mansfield Motors",2019,"Buick","Buick Enclave","Essence","50920",21950,"Enclave","https://www.mansfieldmotorspa.com/details/used-2019-buick-enclave/120741488","Used","5GAEVAKWXKJ284105"
"2/26/2026","A","Mansfield Motors",2023,"Chevrolet","Chevrolet TrailBlazer","ACTIV","11155",21950,"TrailBlazer","https://www.mansfieldmotorspa.com/details/used-2023-chevrolet-trailblazer/120530655","Used","KL79MVSL7PB087150"
"2/26/2026","A","Mansfield Motors",2023,"Chevrolet","Chevrolet Silverado 1500","LT","22980",35950,"Silverado 1500","https://www.mansfieldmotorspa.com/details/used-2023-chevrolet-silverado-1500/121070655","Used","1GCPDKEK7PZ257011"
"2/26/2026","A","Mansfield Motors",2017,"Chevrolet","Chevrolet Trax","LT","71985",9950,"Trax","https://www.mansfieldmotorspa.com/details/used-2017-chevrolet-trax/121421895","Used","3GNCJPSBXHL169904"
"2/26/2026","A","Mansfield Motors",2020,"Chevrolet","Chevrolet Silverado 1500","Custom","61675",21950,"Silverado 1500","https://www.mansfieldmotorspa.com/details/used-2020-chevrolet-silverado-1500/120731246","Used","1GCRYBEK9LZ222185"
"2/26/2026","A","Mansfield Motors",2022,"Chevrolet","Chevrolet Colorado","LT","34160",22950,"Colorado","https://www.mansfieldmotorspa.com/details/used-2022-chevrolet-colorado/119921439","Used","1GCHTCEA4N1243938"
"2/26/2026","A","Mansfield Motors",2014,"Chevrolet","Chevrolet Cruze","1LT Auto","52200",7950,"Cruze","https://www.mansfieldmotorspa.com/details/used-2014-chevrolet-cruze/121957178","Used","1G1PC5SB0E7402903"
"2/26/2026","A","Mansfield Motors",2019,"Chevrolet","Chevrolet Suburban","LT","116885",22950,"Suburban","https://www.mansfieldmotorspa.com/details/used-2019-chevrolet-suburban/120147174","Used","1GNSKHKC9KR328256"
"2/26/2026","A","Mansfield Motors",2021,"Chevrolet","Chevrolet Tahoe","RST","135930",31950,"Tahoe","https://www.mansfieldmotorspa.com/details/used-2021-chevrolet-tahoe/121924449","Used","1GNSKRKD3MR210723"
"2/26/2026","A","Mansfield Motors",2021,"Chevrolet","Chevrolet Silverado 1500","LT","129080",18950,"Silverado 1500","https://www.mansfieldmotorspa.com/details/used-2021-chevrolet-silverado-1500/120770821","Used","1GCRYDED8MZ104711"
"2/26/2026","A","Mansfield Motors",2018,"Chrysler","Chrysler 300","Limited","118950",11950,"300","https://www.mansfieldmotorspa.com/details/used-2018-chrysler-300/118682969","Used","2C3CCAKG0JH137770"
"2/26/2026","A","Mansfield Motors",2023,"Ford","Ford F-150","XLT","39225",34950,"F-150","https://www.mansfieldmotorspa.com/details/used-2023-ford-f-150/121129698","Used","1FTFW1E87PFA75556"
"2/26/2026","A","Mansfield Motors",2022,"Ford","Ford F-150","XL","37730",25950,"F-150","https://www.mansfieldmotorspa.com/details/used-2022-ford-f-150/119524483","Used","1FTFX1E89NKE19860"
"2/26/2026","A","Mansfield Motors",2017,"Ford","Ford C-MAX Hybrid","SE","62485",9950,"C-MAX Hybrid","https://www.mansfieldmotorspa.com/details/used-2017-ford-c-max-hybrid/121238835","Used","1FADP5AU9HL111710"
"2/26/2026","A","Mansfield Motors",2019,"Ford","Ford Mustang","GT Premium","26865",45950,"Mustang","https://www.mansfieldmotorspa.com/details/used-2019-ford-mustang/122014346","Used","1FA6P8CF2K5184972"
"2/26/2026","A","Mansfield Motors",2001,"Ford","Ford F-650 Super Duty","","232110",22950,"F-650 Super Duty","https://www.mansfieldmotorspa.com/details/used-2001-ford-f-650-super-duty/121241619","Used","3FDNF65271MA40801"
"2/26/2026","A","Mansfield Motors",2018,"Genesis","Genesis G80","3.3T Sport","100645",14950,"G80","https://www.mansfieldmotorspa.com/details/used-2018-genesis-g80/120870105","Used","KMHGN4JB6JU248542"
"2/26/2026","A","Mansfield Motors",2018,"GMC","GMC Sierra 1500","SLT","105535",22950,"Sierra 1500","https://www.mansfieldmotorspa.com/details/used-2018-gmc-sierra-1500/121927584","Used","3GTU2NEC1JG629596"
"2/26/2026","A","Mansfield Motors",2022,"GPX Moto","GPX Moto FSE 300R","","1",3550,"FSE 300R","https://www.mansfieldmotorspa.com/details/used-2022-gpx-moto-fse-300r/115247371","Used","A2BDR5439NJ023485"
"2/26/2026","A","Mansfield Motors",2022,"Honda","Honda Odyssey","EX","27285",26950,"Odyssey","https://www.mansfieldmotorspa.com/details/used-2022-honda-odyssey/118057030","Used","5FNRL6H51NB030974"
"2/26/2026","A","Mansfield Motors",2017,"Hyundai","Hyundai Elantra","Value Edition","118235",7950,"Elantra","https://www.mansfieldmotorspa.com/details/used-2017-hyundai-elantra/119921672","Used","5NPD84LF9HH175900"
"2/26/2026","A","Mansfield Motors",2023,"Nissan","Nissan Altima","2.5 S","22540",17950,"Altima","https://www.mansfieldmotorspa.com/details/used-2023-nissan-altima/121957007","Used","1N4BL4BV9PN417734"
"2/26/2026","A","Mansfield Motors",2018,"Nissan","Nissan Versa","S","71790",7550,"Versa","https://www.mansfieldmotorspa.com/details/used-2018-nissan-versa/121238418","Used","3N1CN7AP8JL886210"
"2/26/2026","A","Mansfield Motors",2022,"Nissan","Nissan Altima","2.5 SR","29805",18950,"Altima","https://www.mansfieldmotorspa.com/details/used-2022-nissan-altima/118733152","Used","1N4BL4CWXNN358052"
"2/26/2026","A","Mansfield Motors",2014,"Nissan","Nissan Pathfinder","SL","59885",11950,"Pathfinder","https://www.mansfieldmotorspa.com/details/used-2014-nissan-pathfinder/122022611","Used","5N1AR2MMXEC671194"
"2/26/2026","A","Mansfield Motors",2018,"Nissan","Nissan Rogue","SV","98400",9950,"Rogue","https://www.mansfieldmotorspa.com/details/used-2018-nissan-rogue/122052242","Used","5N1AT2MV3JC769892"
"2/26/2026","A","Mansfield Motors",2023,"RAM","RAM 1500","Big Horn","22320",28950,"1500","https://www.mansfieldmotorspa.com/details/used-2023-ram-1500/118058405","Used","1C6RRFBG8PN571427"
"2/26/2026","A","Mansfield Motors",2019,"RAM","RAM 1500 Classic","Express","83775",17950,"1500 Classic","https://www.mansfieldmotorspa.com/details/used-2019-ram-1500-classic/119143643","Used","1C6RR7FGXKS502832"
"2/26/2026","A","Mansfield Motors",2018,"RAM","RAM 3500","Tradesman","43290","0","3500","https://www.mansfieldmotorspa.com/details/used-2018-ram-3500/121238961","Used","3C7WRTBJ8JG362097"
"2/26/2026","A","Mansfield Motors",2021,"Subaru","Subaru Crosstrek","Limited","56030",21950,"Crosstrek","https://www.mansfieldmotorspa.com/details/used-2021-subaru-crosstrek/116495260","Used","JF2GTHMC2M8249563"
"2/26/2026","A","Mansfield Motors",2015,"Toyota","Toyota Tacoma","","80740",16950,"Tacoma","https://www.mansfieldmotorspa.com/details/used-2015-toyota-tacoma/121204033","Used","5TFUX4EN9FX034155"
"2/26/2026","A","Mansfield Motors",2016,"Toyota","Toyota Tacoma","SR","123705",15950,"Tacoma","https://www.mansfieldmotorspa.com/details/used-2016-toyota-tacoma/121027509","Used","5TFSX5EN5GX043658"
"2/26/2026","A","Mansfield Motors",2011,"Toyota","Toyota Camry Hybrid","","103965",6950,"Camry Hybrid","https://www.mansfieldmotorspa.com/details/used-2011-toyota-camry-hybrid/119921678","Used","4T1BB3EK4BU131647"
"2/26/2026","A","Mansfield Motors",2023,"Volkswagen","Volkswagen Jetta","SE","48985",17950,"Jetta","https://www.mansfieldmotorspa.com/details/used-2023-volkswagen-jetta/120686967","Used","3VW7M7BU2PM036434"
"2/26/2026","A","All Wheels Driven",2017,"Audi","Audi Q7","3.0T quattro Prestige","80460",15495,"Q7","https://www.allwheelsdriven.com/details/used-2017-audi-q7/116187577","Used","WA1VAAF73HD004426"
"2/26/2026","A","All Wheels Driven",2017,"Audi","Audi A8 L","4.0T quattro Sport","111350",19995,"A8 L","https://www.allwheelsdriven.com/details/used-2017-audi-a8-l/119725853","Used","WAU43AFD1HN019144"
"2/26/2026","A","All Wheels Driven",2017,"Chevrolet","Chevrolet Cruze","LT Auto","46506",9995,"Cruze","https://www.allwheelsdriven.com/details/used-2017-chevrolet-cruze/121122805","Used","1G1BE5SM4H7117793"
"2/26/2026","A","All Wheels Driven",2021,"Chevrolet","Chevrolet Silverado 1500","Custom","86094",25495,"Silverado 1500","https://www.allwheelsdriven.com/details/used-2021-chevrolet-silverado-1500/119836513","Used","3GCPYBEKXMG340464"
"2/26/2026","A","All Wheels Driven",2018,"Chevrolet","Chevrolet Silverado 1500","LS","180202",12995,"Silverado 1500","https://www.allwheelsdriven.com/details/used-2018-chevrolet-silverado-1500/117087334","Used","1GCNKNEC0JZ108132"
"2/26/2026","A","All Wheels Driven",2017,"Chevrolet","Chevrolet Bolt EV","Premier","153803",8995,"Bolt EV","https://www.allwheelsdriven.com/details/used-2017-chevrolet-bolt-ev/114845090","Used","1G1FX6S08H4150294"
"2/26/2026","A","All Wheels Driven",2021,"Chevrolet","Chevrolet Silverado 1500","RST","133393",22995,"Silverado 1500","https://www.allwheelsdriven.com/details/used-2021-chevrolet-silverado-1500/116781081","Used","3GCUYEEDXMG459296"
"2/26/2026","A","All Wheels Driven",2019,"Chevrolet","Chevrolet Cruze","LT","163450",6995,"Cruze","https://www.allwheelsdriven.com/details/used-2019-chevrolet-cruze/107478428","Used","3G1BE6SM1KS543701"
"2/26/2026","A","All Wheels Driven",2021,"Chevrolet","Chevrolet TrailBlazer","ACTIV","153475",10995,"TrailBlazer","https://www.allwheelsdriven.com/details/used-2021-chevrolet-trailblazer/118603151","Used","KL79MSSL0MB120807"
"2/26/2026","A","All Wheels Driven",2015,"Dodge","Dodge Dart","SXT","184890",4995,"Dart","https://www.allwheelsdriven.com/details/used-2015-dodge-dart/121113482","Used","1C3CDFBB6FD267054"
"2/26/2026","A","All Wheels Driven",2020,"Ford","Ford Transit","250","86991",20495,"Transit","https://www.allwheelsdriven.com/details/used-2020-ford-transit/121113630","Used","1FTBR2C84LKA34589"
"2/26/2026","A","All Wheels Driven",2019,"Ford","Ford EcoSport","SE","61092",11995,"EcoSport","https://www.allwheelsdriven.com/details/used-2019-ford-ecosport/119891392","Used","MAJ6S3GL1KC270545"
"2/26/2026","A","All Wheels Driven",2022,"Ford","Ford F-150 Lightning","Pro","49643",30995,"F-150 Lightning","https://www.allwheelsdriven.com/details/used-2022-ford-f-150-lightning/121488605","Used","1FTVW1EL9NWG11470"
"2/26/2026","A","All Wheels Driven",2020,"Ford","Ford EcoSport","SE","91326",9995,"EcoSport","https://www.allwheelsdriven.com/details/used-2020-ford-ecosport/120682309","Used","MAJ6S3GLXLC313572"
"2/26/2026","A","All Wheels Driven",2019,"Ford","Ford EcoSport","SE","102425",9995,"EcoSport","https://www.allwheelsdriven.com/details/used-2019-ford-ecosport/119244616","Used","MAJ6S3GL7KC262028"
"2/26/2026","A","All Wheels Driven",2013,"Ford","Ford F-350 Super Duty","XL","192845",17995,"F-350 Super Duty","https://www.allwheelsdriven.com/details/used-2013-ford-f-350-super-duty/115658926","Used","1FT8W3BT2DEB78950"
"2/26/2026","A","All Wheels Driven",2021,"Ford","Ford Bronco Sport","Big Bend","113208",14995,"Bronco Sport","https://www.allwheelsdriven.com/details/used-2021-ford-bronco-sport/116743313","Used","3FMCR9B64MRA10931"
"2/26/2026","A","All Wheels Driven",2024,"Honda","Honda HR-V","Sport","61405",20995,"HR-V","https://www.allwheelsdriven.com/details/used-2024-honda-hr-v/118469466","Used","3CZRZ2H55RM759594"
